fecha,apertura,maximo,minimo,cierre,volumen,openint
"2012-03-19","2765.00000","2771.35","2744.02","2757.19995","39916276","0"
"2012-03-21","2693.00000","2718.83","2678.48","2718.83008","57116536","0"
"2012-03-22","2718.00000","2718.35","2666.45","2673.78003","41747912","0"
"2012-03-23","2675.46997","2718.42","2675.47","2711.87012","35026620","0"
"2012-03-26","2712.93994","2719.54","2656.93","2691.76001","0","0"
"2012-03-27","2690.54004","2694","2671.82","2691.97998","0","0"
"2012-03-28","0.00000","2688.34","2663.07","2684.17993","0","0"
"2012-03-29","2683.65991","2684.24","2645.51","2658.73999","0","0"
"2012-03-30","2659.29004","2679.79","2657.74","2678.39990","0","0"
"2012-04-03","2683.98999","2683.99","2589.57","2605.50000","0","0"
"2012-04-04","2604.70996","2604.71","2553.11","2557.45996","0","0"
"2012-04-09","2543.76001","2543.76","2492.13","2522.17993","0","0"
"2012-04-10","0.00000","2522.03","2490.11","2497.05005","0","0"
"2012-04-11","2501.38989","2549.29","2499.1","2503.89990","0","0"
"2012-04-12","2510.82007","2570.11","2510.56","2562.67993","0","0"
"2012-04-13","2552.02002","2552.02","2501.52","2502.08008","0","0"
"2012-04-16","2503.69995","2510.6","2419.47","2459.56006","0","0"
"2012-04-17","2462.00000","2464.36","2419.68","2421.01001","42548032","0"
"2012-04-18","2377.21997","2417.79","2347.41","2357.66992","0","0"
"2012-04-19","2355.70996","2355.71","2329.86","2352.83008","0","0"
"2012-04-20","2354.00000","2371.32","2334.6","2338.47998","70069272","0"
"2012-04-23","2338.47998","2338.48","2299.08","2309.85010","0","0"
"2012-04-24","2309.85010","2325.54","2292.54","2311.17993","0","0"
"2012-04-25","2324.64990","2329.55","2272.44","2277.08008","0","0"
"2012-04-26","2288.64990","2290.65","2253.13","2270.81006","0","0"
"2012-04-27","2272.00000","2282.26","2259.62","2271.86011","39975648","0"
"2012-05-02","2259.00000","2258.82","2239.66","2241.70996","29774472","0"
"2012-05-03","2240.72998","2244.36","2188.65","2195.21997","0","0"
"2012-05-04","2198.72998","2212.87","2186.73","2211.02002","0","0"
"2012-05-07","2217.30005","2248.38","2213.96","2248.37012","0","0"
"2012-05-08","2242.62988","2384.26","2230.38","2384.26001","0","0"
"2012-05-09","2384.37988","2389.55","2315.42","2335.01001","0","0"
"2012-05-10","2335.01001","2364.61","2301.51","2307.04004","0","0"
"2012-05-11","2299.16992","2334.66","2292.4","2304.61011","0","0"
"2012-05-14","2303.63989","2303.64","2226.44","2234.37988","0","0"
"2012-05-15","2242.43994","2251.95","2211.58","2214.05005","0","0"
"2012-05-16","2218.32007","2236.75","2151.83","2160.43994","0","0"
"2012-05-17","2157.22998","2166.66","2118.07","2121.52002","0","0"
"2012-05-18","2127.76001","2150.95","2122.15","2134.85010","0","0"
"2012-05-21","2134.85010","2193.71","2134.85","2193.70996","0","0"
"2012-05-22","2192.38989","2262.4","2192.39","2239.23999","0","0"
"2012-05-23","2239.23999","2288.6","2189.71","2288.60010","0","0"
"2012-05-24","2288.60010","2340.26","2276.41","2340.26001","0","0"
"2012-05-28","2336.81006","2360.44","2335.57","2354.31006","0","0"
"2012-05-29","2354.57007","2377.34","2305.5","2314.23999","0","0"
"2012-05-30","2314.23999","2314.24","2253.38","2264.91992","0","0"
"2012-05-31","2260.72998","2268.01","2236.85","2256.73999","0","0"
"2012-06-01","2251.46997","2251.47","2201.36","2215.17993","0","0"
"2012-06-04","2216.57007","2231.75","2188.85","2210.40991","0","0"
"2012-06-05","2210.58008","2235.47","2195.95","2199.96997","0","0"
"2012-06-06","2200.65991","2244.65","2200.66","2221.52002","0","0"
"2012-06-07","2222.00000","2239.15","2218.86","2227.58008","35635736","0"
"2012-06-08","2213.29004","2213.29","2189.47","2198.47998","0","0"
"2012-06-11","2198.75000","2210.73","2175.87","2179.53003","0","0"
"2012-06-12","2180.00000","2193.94","2171.96","2178.26001","42347348","0"
"2012-06-13","2178.26001","2179.4","2149","2151.13989","0","0"
"2012-06-14","2152.19995","2194.68","2139.89","2190.82007","0","0"
"2012-06-15","2194.69995","2273.02","2194.7","2273.02002","0","0"
"2012-06-18","2267.75000","2276.39","2250.26","2269.79004","0","0"
"2012-06-19","0.00000","2353.79","2284.57","2351.53003","0","0"
"2012-06-21","2352.44995","2352.45","2299.92","2311.42993","0","0"
"2012-06-22","2313.10010","2341.49","2312.4","2341.48999","0","0"
"2012-06-25","2335.32007","2335.32","2287.65","2287.84009","0","0"
"2012-06-26","2288.61011","2293.5","2274.1","2276.41992","0","0"
"2012-06-27","2275.37012","2279.52","2258.33","2279.52002","0","0"
"2012-06-28","2284.14990","2284.15","2253.39","2268.11011","0","0"
"2012-06-29","2301.40991","2353.18","2301.41","2346.67993","0","0"
"2012-07-02","2348.84009","2369.22","2337.33","2369.21997","0","0"
"2012-07-03","2370.23999","2418.2","2370.24","2413.80005","0","0"
"2012-07-04","2416.08008","2430.07","2411.77","2426.56006","0","0"
"2012-07-05","2385.09009","2385.09","2349.24","2381.00000","0","0"
"2012-07-06","2378.81006","2389.11","2356.14","2383.68994","0","0"
"2012-07-10","2379.19995","2379.2","2309.25","2317.34009","0","0"
"2012-07-11","2322.04004","2361.96","2322.04","2361.95996","0","0"
"2012-07-12","2359.43994","2359.44","2332.22","2350.95996","0","0"
"2012-07-13","2367.92993","2381.38","2364.28","2381.37988","0","0"
"2012-07-16","2382.25000","2385.09","2366.32","2385.09009","0","0"
"2012-07-17","2387.92993","2406.09","2377.75","2403.60010","0","0"
"2012-07-18","2405.88989","2497.76","2405.89","2496.66992","0","0"
"2012-07-19","2496.66992","2527.48","2485.93","2502.54004","0","0"
"2012-07-20","2502.26001","2502.26","2452.97","2459.40991","0","0"
"2012-07-23","2399.29004","2436.79","2390.03","2436.79004","0","0"
"2012-07-24","2436.79004","2436.79","2363.53","2387.77002","0","0"
"2012-07-25","2387.98999","2411.43","2387.77","2398.82007","0","0"
"2012-07-26","2399.84009","2438.88","2399.84","2433.29004","0","0"
"2012-07-27","2428.80005","2444.12","2425.86","2435.95996","0","0"
"2012-07-30","2437.75000","2440.37","2408.08","2420.40991","0","0"
"2012-07-31","2420.40991","2421.94","2391.21","2400.31006","0","0"
"2012-08-01","2400.31006","2420.63","2391.47","2399.58008","0","0"
"2012-08-02","2398.56006","2407.83","2355.81","2375.63989","0","0"
"2012-08-03","2382.33008","2421.39","2382.33","2396.78003","0","0"
"2012-08-06","2398.58008","2422.92","2393.5","2422.91992","0","0"
"2012-08-07","2425.27002","2453.06","2425.27","2451.68994","0","0"
"2012-08-08","0.00000","2476.31","2447.81","2458.81006","0","0"
"2012-08-09","2461.16992","2483.74","2369.87","2381.21997","0","0"
"2012-08-10","2371.15991","2410.85","2360.25","2410.85010","0","0"
"2012-08-13","2408.72998","2432.58","2389.92","2430.37012","0","0"
"2012-08-14","2430.37012","2451.06","2416.15","2420.26001","0","0"
"2012-08-15","2421.96997","2446.23","2402.48","2440.35010","0","0"
"2012-08-16","2441.78003","2483.42","2441.78","2483.41992","0","0"
"2012-08-17","2484.42993","2484.43","2450.87","2459.94995","0","0"
"2012-08-21","2458.36011","2467.73","2435.78","2441.22998","0","0"
"2012-08-22","2440.93994","2442.1","2425.45","2435.69995","0","0"
"2012-08-23","2436.52002","2442.52","2424.1","2442.52002","0","0"
"2012-08-24","2442.52002","2458.81","2442.52","2458.81006","0","0"
"2012-08-27","2458.81006","2473.94","2458.81","2460.71997","0","0"
"2012-08-28","2461.73999","2463.82","2442.99","2447.26001","0","0"
"2012-08-29","2447.26001","2448.24","2435.31","2445.43994","0","0"
"2012-08-30","2445.43994","2446.81","2403.84","2424.03003","0","0"
"2012-08-31","2424.26001","2433.88","2403.44","2408.37988","0","0"
"2012-09-03","2408.48999","2414.83","2400.65","2402.56006","0","0"
"2012-09-04","2402.84009","2403.29","2363.58","2379.30005","0","0"
"2012-09-05","2379.30005","2386.16","2358.81","2382.25000","0","0"
"2012-09-06","2387.06006","2405.14","2384.33","2405.13989","0","0"
"2012-09-07","2405.13989","2423.62","2374.22","2381.95996","0","0"
"2012-09-10","2385.45996","2394.54","2363.74","2371.61011","0","0"
"2012-09-11","2375.83008","2406.59","2375.83","2406.52002","0","0"
"2012-09-12","2406.71997","2436.82","2406.72","2436.22998","0","0"
"2012-09-13","2437.93994","2508.71","2437.74","2508.70996","0","0"
"2012-09-14","2515.78003","2576.01","2515.78","2543.86011","0","0"
"2012-09-17","2536.69995","2536.7","2477.21","2479.23999","0","0"
"2012-09-18","2476.75000","2491.82","2467.79","2491.82007","0","0"
"2012-09-19","2493.61011","2501.77","2486.67","2493.85010","0","0"
"2012-09-20","2493.85010","2503.94","2474.18","2500.79004","0","0"
"2012-09-21","2501.64990","2540.33","2501.65","2531.75000","0","0"
